,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.tissue,characteristics_ch1.1.grade,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,data_processing,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count
GSM3190275,endometrium2_cancer_G1,GSM3190275,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G1,Homo sapiens,9606,endometrium cancer,G1,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190275/suppl/GSM3190275_endometrium2.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190275/suppl/GSM3190275_endometrium2.rma.chp.gz",GSE115810,22283
GSM3190276,endometrium3_cancer_G1,GSM3190276,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G1,Homo sapiens,9606,endometrium cancer,G1,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190276/suppl/GSM3190276_endometrium3.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190276/suppl/GSM3190276_endometrium3.rma.chp.gz",GSE115810,22283
GSM3190277,endometrium4_control,GSM3190277,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium control,Homo sapiens,9606,endometrium,n/a,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190277/suppl/GSM3190277_endometrium4.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190277/suppl/GSM3190277_endometrium4.rma.chp.gz",GSE115810,22283
GSM3190278,endometrium5_control,GSM3190278,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium control,Homo sapiens,9606,endometrium,n/a,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190278/suppl/GSM3190278_endometrium5.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190278/suppl/GSM3190278_endometrium5.rma.chp.gz",GSE115810,22283
GSM3190279,endometrium6_control,GSM3190279,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium control,Homo sapiens,9606,endometrium,n/a,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190279/suppl/GSM3190279_endometrium6.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190279/suppl/GSM3190279_endometrium6.rma.chp.gz",GSE115810,22283
GSM3190280,endometrium7_cancer_G1,GSM3190280,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G1,Homo sapiens,9606,endometrium cancer,G1,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190280/suppl/GSM3190280_endometrium7.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190280/suppl/GSM3190280_endometrium7.rma.chp.gz",GSE115810,22283
GSM3190281,endometrium8_cancer_G3,GSM3190281,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190281/suppl/GSM3190281_endometrium8.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190281/suppl/GSM3190281_endometrium8.rma.chp.gz",GSE115810,22283
GSM3190282,endometrium9_cancer_G3,GSM3190282,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190282/suppl/GSM3190282_endometrium9.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190282/suppl/GSM3190282_endometrium9.rma.chp.gz",GSE115810,22283
GSM3190283,endometrium12_cancer_G3,GSM3190283,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190283/suppl/GSM3190283_endometrium12.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190283/suppl/GSM3190283_endometrium12.rma.chp.gz",GSE115810,22283
GSM3190284,endometrium13_cancer_G3,GSM3190284,Public on Jun 15 2018,Jun 14 2018,Jun 15 2018,RNA,1,endometrium cancer G3,Homo sapiens,9606,endometrium cancer,G3,total RNA,Total RNA was extracted with Trizol Reagend according to the manufacturer's instructions.,biotin,"Biotinylated cRNA were prepared according to Affymetrix protocol  from 5-8ug of total RNA (Gene Expression Analysis Technical Manual, Affymertix).",15ug of fragmented cRNA were hybridized on HGU133A microarray (Affymetrix). Hybrydization was performed for 16h at 45C. Gene chip was washed and stained with use  GeneChip® Fluidics Station 450 - protocol EukGE-WS2v4 .,Scan was made with use of GeneArray Scanner G2500A,"The data were analyzed with Affymetrix GeneChip Command Console (AGCC) Software,  PL-Grid (http://www.plgrid.pl/) , GeneSpring 13.0 (Agilent Technologies UK Limited, South Queensferry, UK)",GPL96,"Urszula,,Mazurek",Department of Molecular Biology,Medical University of Silesia,Jedności 8,Sosnowiec,41-200,Poland,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190284/suppl/GSM3190284_endometrium13.CEL.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3190nnn/GSM3190284/suppl/GSM3190284_endometrium13.rma.chp.gz",GSE115810,22283
