,sample_id,title,source,characteristics,treatment_protocol,molecule,description
0,GSM3190275,endometrium2_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
1,GSM3190276,endometrium3_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
2,GSM3190277,endometrium4_control,endometrium control,tissue: endometrium; grade: n/a,N/A,total RNA,N/A
3,GSM3190278,endometrium5_control,endometrium control,tissue: endometrium; grade: n/a,N/A,total RNA,N/A
4,GSM3190279,endometrium6_control,endometrium control,tissue: endometrium; grade: n/a,N/A,total RNA,N/A
5,GSM3190280,endometrium7_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
6,GSM3190281,endometrium8_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
7,GSM3190282,endometrium9_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
8,GSM3190283,endometrium12_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
9,GSM3190284,endometrium13_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
10,GSM3190285,endometrium14_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
11,GSM3190286,endometrium15_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
12,GSM3190287,endometrium16_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
13,GSM3190288,endometrium17_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
14,GSM3190289,endometrium18_cancer_G3,endometrium cancer G3,tissue: endometrium cancer; grade: G3,N/A,total RNA,N/A
15,GSM3190290,endometrium19_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
16,GSM3190291,endometrium20_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
17,GSM3190292,endometrium21_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
18,GSM3190293,endometrium22_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
19,GSM3190294,endometrium24_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
20,GSM3190295,endometrium25_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
21,GSM3190296,endometrium26_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
22,GSM3190297,endometrium27_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
23,GSM3190298,endometrium28_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
24,GSM3190299,endometrium29_cancer_G2,endometrium cancer G2,tissue: endometrium cancer; grade: G2,N/A,total RNA,N/A
25,GSM3190300,endometrium30_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
26,GSM3190301,endometrium31_cancer_G1,endometrium cancer G1,tissue: endometrium cancer; grade: G1,N/A,total RNA,N/A
